origin_latitude,origin_longitude,destination_latitude,destination_longitude,distance
-34.592267,-70.98697,-34.592267,-70.98697,0.0
-34.592267,-70.98697,-34.171195,-70.74279,55310.5
-34.592267,-70.98697,-34.392256,-70.854765,27190.0
-34.592267,-70.98697,-34.177588,-70.757829,54954.75
-34.592267,-70.98697,-34.400957,-70.842169,27788.0
-34.592267,-70.98697,-34.209184,-70.814858,53773.0
-34.592267,-70.98697,-34.176538,-70.736833,54545.0
-34.592267,-70.98697,-34.575542,-70.995463,3287.25
-34.592267,-70.98697,-34.212196,-70.657681,61417.0
-34.592267,-70.98697,-34.267358,-71.031469,64692.0
-34.592267,-70.98697,-34.04645,-70.675743,74592.0
-34.592267,-70.98697,-34.035962,-70.647753,74802.0
-34.592267,-70.98697,-34.360931,-70.836255,31224.0
-34.592267,-70.98697,-34.267326,-71.031936,64706.0
-34.592267,-70.98697,-34.583904,-70.992034,2262.5
-34.592267,-70.98697,-34.15092,-70.76583,55020.0
-34.592267,-70.98697,-34.23582,-70.778198,46610.0
-34.592267,-70.98697,-34.238334,-70.978748,70546.0
-34.592267,-70.98697,-34.045113,-70.67002,73982.0
-34.592267,-70.98697,-34.191216,-70.67202,60626.5
-34.592267,-70.98697,-34.175594,-70.703832,56231.0
-34.592267,-70.98697,-34.170956,-70.703133,56625.0
-34.592267,-70.98697,-34.409004,-70.864319,26471.0
-34.592267,-70.98697,-34.20289334239257,-70.75137574951917,49128.0
-34.592267,-70.98697,-34.545347,-70.95309,8285.0
-34.592267,-70.98697,-34.160741,-70.73843,57789.0
-34.592267,-70.98697,-34.590813,-70.996078,901.0
-34.592267,-70.98697,-34.249185,-71.04603,66675.0
-34.592267,-70.98697,-34.405065,-70.846615,27143.0
-34.592267,-70.98697,-34.590044,-70.968221,4982.0
-34.592267,-70.98697,-34.160107,-70.704028,57333.0
-34.592267,-70.98697,-34.28162,-71.075432,59469.0
-34.592267,-70.98697,-34.167152,-70.740349,57605.25
