origin_latitude,origin_longitude,destination_latitude,destination_longitude,distance
-33.405694,-70.538639,-33.405694,-70.538639,0.0
-33.405694,-70.538639,-33.512382,-70.627946,18629.25
-33.405694,-70.538639,-33.463687,-70.576311,9689.25
-33.405694,-70.538639,-33.45431,-70.578176,8730.25
-33.405694,-70.538639,-33.376639,-70.514639,5288.75
-33.405694,-70.538639,-33.384694,-70.575,5686.0
-33.405694,-70.538639,-33.509171,-70.658431,26914.25
-33.405694,-70.538639,-33.409102,-70.54063,609.0
-33.405694,-70.538639,-33.3139,-70.5727,15060.75
-33.405694,-70.538639,-33.392611,-70.543111,2171.0
-33.405694,-70.538639,-33.390248,-70.528427,3278.75
-33.405694,-70.538639,-33.5325329703107,-70.75363902386597,34284.25
-33.405694,-70.538639,-33.409528,-70.538806,540.0
-33.405694,-70.538639,-33.39082,-70.579412,6282.25
-33.405694,-70.538639,-33.509594,-70.618326,17815.25
-33.405694,-70.538639,-33.430361,-70.576361,6177.5
-33.405694,-70.538639,-33.413528,-70.595528,5839.0
-33.405694,-70.538639,-33.395222,-70.5945,9689.5
-33.405694,-70.538639,-33.491546,-70.644944,19794.25
-33.405694,-70.538639,-33.442085,-70.624108,12936.0
-33.405694,-70.538639,-33.457086,-70.576128,9043.25
-33.405694,-70.538639,-33.440333,-70.580361,7585.5
-33.405694,-70.538639,-33.423333,-70.563806,4102.25
-33.405694,-70.538639,-33.414287,-70.594886,5698.0
-33.405694,-70.538639,-33.406608,-70.538289,328.0
-33.405694,-70.538639,-33.468889,-70.536268,8237.0
-33.405694,-70.538639,-33.51621,-70.64817,20959.25
-33.405694,-70.538639,-33.598844,-70.609996,26357.25
-33.405694,-70.538639,-33.417222,-70.564306,3962.25
-33.405694,-70.538639,-33.435158,-70.61393,8593.0
-33.405694,-70.538639,-33.432181,-70.623623,12267.0
-33.405694,-70.538639,-33.376694,-70.520472,6123.0
-33.405694,-70.538639,-33.512889,-70.663583,28276.25
-33.405694,-70.538639,-33.508428,-70.663867,21954.25
-33.405694,-70.538639,-33.4175,-70.586333,5465.0
-33.405694,-70.538639,-33.316346,-70.568629,14923.75
-33.405694,-70.538639,-33.378332,-70.51873,5147.25
-33.405694,-70.538639,-33.410083,-70.563444,3324.5
-33.405694,-70.538639,-33.435896,-70.608052,8265.0
-33.405694,-70.538639,-33.413565,-70.530028,1850.0
-33.405694,-70.538639,-33.4664,-70.6169,13962.5
-33.405694,-70.538639,-33.507306,-70.657139,21654.25
-33.405694,-70.538639,-33.384972,-70.574306,5490.0
-33.405694,-70.538639,-33.384889,-70.57425,5480.0
-33.405694,-70.538639,-33.379062,-70.556117,3901.0
-33.405694,-70.538639,-33.415194,-70.593361,5897.0
-33.405694,-70.538639,-33.497385,-70.524781,12069.75
-33.405694,-70.538639,-33.375031,-70.573129,6128.0
-33.405694,-70.538639,-33.384389,-70.526278,3455.75
-33.512382,-70.627946,-33.405694,-70.538639,18481.25
-33.512382,-70.627946,-33.512382,-70.627946,0.0
-33.512382,-70.627946,-33.463687,-70.576311,10333.0
-33.512382,-70.627946,-33.45431,-70.578176,11228.0
-33.512382,-70.627946,-33.376639,-70.514639,24336.0
-33.512382,-70.627946,-33.384694,-70.575,18706.0
-33.512382,-70.627946,-33.509171,-70.658431,4469.75
-33.512382,-70.627946,-33.409102,-70.54063,17862.0
-33.512382,-70.627946,-33.3139,-70.5727,38407.5
-33.512382,-70.627946,-33.392611,-70.543111,19459.5
-33.512382,-70.627946,-33.390248,-70.528427,22872.0
-33.512382,-70.627946,-33.5325329703107,-70.75363902386597,17672.75
-33.512382,-70.627946,-33.409528,-70.538806,18139.0
-33.512382,-70.627946,-33.39082,-70.579412,18421.0
-33.512382,-70.627946,-33.509594,-70.618326,1155.0
-33.512382,-70.627946,-33.430361,-70.576361,14017.0
-33.512382,-70.627946,-33.413528,-70.595528,14930.0
-33.512382,-70.627946,-33.395222,-70.5945,16245.0
-33.512382,-70.627946,-33.491546,-70.644944,3929.0
-33.512382,-70.627946,-33.442085,-70.624108,8870.0
-33.512382,-70.627946,-33.457086,-70.576128,10516.0
-33.512382,-70.627946,-33.440333,-70.580361,13197.0
-33.512382,-70.627946,-33.423333,-70.563806,14959.0
-33.512382,-70.627946,-33.414287,-70.594886,15368.0
-33.512382,-70.627946,-33.406608,-70.538289,18293.0
-33.512382,-70.627946,-33.468889,-70.536268,13354.0
-33.512382,-70.627946,-33.51621,-70.64817,2515.5
-33.512382,-70.627946,-33.598844,-70.609996,10623.0
-33.512382,-70.627946,-33.417222,-70.564306,15642.0
-33.512382,-70.627946,-33.435158,-70.61393,11399.25
-33.512382,-70.627946,-33.432181,-70.623623,10432.75
-33.512382,-70.627946,-33.376694,-70.520472,24490.0
-33.512382,-70.627946,-33.512889,-70.663583,4085.0
-33.512382,-70.627946,-33.508428,-70.663867,4877.0
-33.512382,-70.627946,-33.4175,-70.586333,15380.75
-33.512382,-70.627946,-33.316346,-70.568629,42841.0
-33.512382,-70.627946,-33.378332,-70.51873,24113.0
-33.512382,-70.627946,-33.410083,-70.563444,16651.0
-33.512382,-70.627946,-33.435896,-70.608052,10642.0
-33.512382,-70.627946,-33.413565,-70.530028,18536.0
-33.512382,-70.627946,-33.4664,-70.6169,6426.0
-33.512382,-70.627946,-33.507306,-70.657139,4577.0
-33.512382,-70.627946,-33.384972,-70.574306,19129.0
-33.512382,-70.627946,-33.384889,-70.57425,19134.0
-33.512382,-70.627946,-33.379062,-70.556117,20667.25
-33.512382,-70.627946,-33.415194,-70.593361,15586.0
-33.512382,-70.627946,-33.497385,-70.524781,12315.0
-33.512382,-70.627946,-33.375031,-70.573129,19964.0
-33.512382,-70.627946,-33.384389,-70.526278,22172.5
